Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","0603C",11.500000,15.520000,90.000000,top
"C2","100n","0603C",7.250000,20.500000,-90.000000,top
"C3","100n","0603C",16.750000,12.500000,125.000000,top
"C4","100n","0603C",21.500000,10.750000,145.000000,top
"C5","100n","0603C",11.500000,7.000000,90.000000,top
"C6","100n","0603C",6.000000,3.250000,35.000000,top
"C7","100n","0603C",6.500000,13.500000,-125.000000,top
"LED1","WS2812B","WS2812B LED",11.500000,11.500000,0.000000,top
"LED2","WS2812B","WS2812B LED",11.500000,20.000000,0.000000,top
"LED3","WS2812B","WS2812B LED",18.700000,15.666660,125.000000,top
"LED4","WS2812B","WS2812B LED",18.850000,7.333333,-125.000000,top
"LED5","WS2812B","WS2812B LED",11.500000,3.000000,0.000000,top
"LED6","WS2812B","WS2812B LED",4.100000,7.333330,125.000000,top
"LED7","WS2812B","WS2812B LED",4.250000,15.666666,-125.000000,top
"PAD2","PAD_2x1.5","PAD_2x1.5",9.250000,7.500000,0.000000,top
"PAD3","PAD_2x1.5","PAD_2x1.5",9.250000,15.500000,0.000000,top
"PAD4","PAD_2x1.5","PAD_2x1.5",13.750000,15.500000,0.000000,top
"PAD5","PAD_2x1.5","PAD_2x1.5",13.750000,7.500000,0.000000,top
"R1","100","0603R",15.750000,10.025000,-90.000000,top
