"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"LED2,LED7,LED6,LED5,LED4,LED3,LED1";"WS2812B LED";7;"WS2812B";;;
2;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
3;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
4;"C5,C6,C2,C4,C3,C7,C1";"0603C";7;"100n";;;
5;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
6;"PAD4,PAD5,PAD2,PAD3,PAD1,PAD7,PAD8,PAD6";"PAD_2x1.5";8;"PAD_2x1.5";;;
7;"G***";"Logo-Front-Soldered-3mm";1;"LOGO";;;
8;",,,,,,,,,";"buzzardLabel";10;"";;;
9;"R1";"0603R";1;"100";;;
10;"Ref**";"Version1.0.0.";1;"Val**";;;
